level,tag,count
p,funding-source,3
p,institution-wrap,2
p,institution-id,2
p,institution,2
p,statement,2
p,{http://www.w3.org/1998/Math/MathML}mstyle,3
p,sans-serif,1
p,{http://www.w3.org/1998/Math/MathML}munder,4
p,{http://www.w3.org/1998/Math/MathML}mpadded,1
boxed-text,boxed-text,5185
boxed-text,caption,4250
boxed-text,title,4904
boxed-text,sec,1754
boxed-text,list,4382
boxed-text,list-item,4382
boxed-text,p,5185
boxed-text,label,124
boxed-text,bold,263
boxed-text,italic,422
boxed-text,ext-link,19
boxed-text,sub,85
boxed-text,sup,92
boxed-text,xref,24
boxed-text,inline-graphic,2
boxed-text,fig,1
boxed-text,graphic,2
boxed-text,media,1
boxed-text,speech,1
boxed-text,speaker,1
boxed-text,def-list,2
boxed-text,def-item,2
boxed-text,term,2
boxed-text,def,2
boxed-text,underline,4
boxed-text,styled-content,4
boxed-text,table-wrap,10
boxed-text,table,10
boxed-text,col,9
boxed-text,thead,3
boxed-text,tr,10
boxed-text,th,2
boxed-text,tbody,10
boxed-text,td,10
boxed-text,table-wrap-foot,3
boxed-text,fn,4
boxed-text,colgroup,7
boxed-text,object-id,1
boxed-text,alternatives,1
boxed-text,named-content,1
boxed-text,fn-group,1
boxed-text,sc,2
boxed-text,ref-list,1
boxed-text,ref,1
boxed-text,element-citation,1
boxed-text,person-group,1
boxed-text,name,1
boxed-text,surname,1
boxed-text,given-names,1
boxed-text,etal,1
boxed-text,article-title,1
boxed-text,source,1
boxed-text,volume,1
boxed-text,fpage,1
boxed-text,lpage,1
boxed-text,year,1
boxed-text,pub-id,1
def-list,def-list,2906
def-list,title,2904
def-list,def-item,2906
def-list,term,2906
def-list,def,2905
def-list,p,2905
def-list,sub,287
def-list,italic,365
def-list,sc,55
def-list,sup,146
def-list,{http://www.w3.org/1998/Math/MathML}math,6
def-list,{http://www.w3.org/1998/Math/MathML}mi,6
def-list,bold,4
def-list,styled-content,4
def-list,{http://www.w3.org/1998/Math/MathML}msub,5
def-list,{http://www.w3.org/1998/Math/MathML}mover,3
def-list,{http://www.w3.org/1998/Math/MathML}mo,4
def-list,{http://www.w3.org/1998/Math/MathML}mn,4
def-list,{http://www.w3.org/1998/Math/MathML}mrow,3
def-list,{http://www.w3.org/1998/Math/MathML}mtext,1
def-list,{http://www.w3.org/1998/Math/MathML}msup,1
